ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP_ENDOMETRIAL_CANCER	WP_ENDOMETRIAL_CANCER	10/190	63/21728	1.76273479862994e-10	5.5332245328994e-07	3.93182635610195e-07	CASP9/CDH1/FGFR2/FGFR3/HRAS/MAP2K2/PIK3CA/PIK3R2/RAF1/SOS2	10
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA	10/190	70/21728	5.18969978507773e-10	6.37630406282826e-07	4.53090602408849e-07	CREBBP/EPAS1/HRAS/MAP2K2/PIK3CA/PIK3R2/PTPN11/RAC1/RAF1/SOS2	10
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER	18/190	325/21728	6.09395099983587e-10	6.37630406282826e-07	4.53090602408849e-07	CASP9/CDH1/CREBBP/EPAS1/FGFR2/FGFR3/FZD6/HRAS/MAP2K2/MECOM/MMP9/PIK3CA/PIK3R2/PTCH1/RAC1/RAF1/SOS2/WNT6	18
WP_RAS_SIGNALING	WP_RAS_SIGNALING	14/190	185/21728	9.76482697688947e-10	7.66294797011401e-07	5.44517588527073e-07	FGFR2/FGFR3/FLT1/GNB2/HRAS/MAP2K2/NF1/PIK3CA/PIK3R2/PRKACB/PTPN11/RAC1/RAF1/SOS2	14
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION	14/190	199/21728	2.52788362182105e-09	1.58700533777925e-06	1.12770218834501e-06	COL11A2/COL1A1/COL1A2/COL2A1/COL6A3/FLNA/FLT1/HRAS/PIK3CA/PIK3R2/RAC1/RAF1/SOS2/TNC	14
PID_ERBB2_ERBB3_PATHWAY	PID_ERBB2_ERBB3_PATHWAY	8/190	44/21728	3.9933457677271e-09	2.08918539414923e-06	1.48454380382697e-06	CHRNA1/HRAS/MAP2K2/PIK3CA/PIK3R2/PTPN11/RAC1/RAF1	8
WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA	WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA	9/190	66/21728	5.95621768668141e-09	2.67093818835613e-06	1.8979286132448e-06	ARID1A/CREBBP/FOXP2/HRAS/MAP2K2/NOTCH1/PIK3CA/PRKDC/RAF1	9
WP_EMBRYONIC_STEM_CELL_PLURIPOTENCY_PATHWAYS	WP_EMBRYONIC_STEM_CELL_PLURIPOTENCY_PATHWAYS	11/190	118/21728	7.25633816918689e-09	2.72456970502897e-06	1.93603836453326e-06	FGFR2/FGFR3/FZD6/HRAS/LIFR/MAP2K2/PIK3R2/PTPN11/RAF1/SMAD6/WNT6	11
WP_MELANOMA	WP_MELANOMA	9/190	68/21728	7.81176404755042e-09	2.72456970502897e-06	1.93603836453326e-06	CDH1/HRAS/MAP2K2/NF1/PIK3CA/PIK3R2/RAC1/RAF1/SOS2	9
WP_CILIOPATHIES	WP_CILIOPATHIES	13/190	184/21728	9.0656007140975e-09	2.84569206415521e-06	2.02210609612343e-06	BBS12/BBS4/DYNC2H1/IFT122/INVS/MKS1/OFD1/PIBF1/PKD1/PKHD1/TRAF3IP1/TTC21B/USP9X	13
