ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0060562	epithelial tube morphogenesis	28/188	335/18903	4.3003536274479e-18	1.61349268101845e-14	1.08912113975154e-14	LIAS/PTCH1/KAT2A/NOTCH1/SALL4/FGFR2/MKS1/PBX1/HNF1B/GREB1L/RYR2/FOXF1/PKHD1/GATA3/PRKACB/STIL/DCHS1/PKD1/GATA4/IFT122/PLXNB2/FZD6/WNT6/APAF1/AGT/BBS4/SOX9/BMP7	28
GO:0072001	renal system development	27/188	318/18903	1.19558178955252e-17	2.24291143720053e-14	1.51398409771756e-14	NF1/PTCH1/NOTCH1/FGFR2/PBX1/HNF1B/NIPBL/GREB1L/FOXF1/PKHD1/GATA3/FRAS1/DYNC2H1/NPHS1/DCHS1/PKD1/SMAD6/WNT6/APAF1/CASP9/AGT/AMER1/SOX9/MMP9/ADAMTS1/BMP7/TRAF3IP1	27
GO:0001655	urogenital system development	28/188	360/18903	2.8462121908125e-17	3.5596627133095e-14	2.40280229161223e-14	NF1/PTCH1/NOTCH1/FGFR2/PBX1/HNF1B/NIPBL/GREB1L/FOXF1/PKHD1/GATA3/FRAS1/DYNC2H1/NPHS1/DCHS1/PKD1/SMAD6/WNT6/APAF1/CASP9/AGT/AMER1/SOX9/MMP9/ADAMTS1/TNC/BMP7/TRAF3IP1	28
GO:0001822	kidney development	26/188	309/18903	6.25737208749028e-17	5.86941501806588e-14	3.96190453750042e-14	NF1/PTCH1/NOTCH1/FGFR2/PBX1/HNF1B/NIPBL/GREB1L/PKHD1/GATA3/FRAS1/DYNC2H1/NPHS1/DCHS1/PKD1/SMAD6/WNT6/APAF1/CASP9/AGT/AMER1/SOX9/MMP9/ADAMTS1/BMP7/TRAF3IP1	26
GO:0035148	tube formation	19/188	155/18903	1.19321250748855e-15	8.95386665619406e-13	6.04393535372094e-13	LIAS/PTCH1/KAT2A/NOTCH1/SALL4/FGFR2/MKS1/HNF1B/GATA3/PRKACB/STIL/IFT122/PLXNB2/FZD6/WNT6/APAF1/BBS4/SOX9/BMP7	19
GO:0072175	epithelial tube formation	18/188	139/18903	2.59152525359904e-15	1.6205671252506e-12	1.09389644915075e-12	LIAS/PTCH1/KAT2A/SALL4/FGFR2/MKS1/HNF1B/GATA3/PRKACB/STIL/IFT122/PLXNB2/FZD6/WNT6/APAF1/BBS4/SOX9/BMP7	18
GO:0001838	embryonic epithelial tube formation	17/188	127/18903	9.0195386926194e-15	4.834472739244e-12	3.26330978863794e-12	LIAS/PTCH1/KAT2A/SALL4/MKS1/HNF1B/GATA3/PRKACB/STIL/IFT122/PLXNB2/FZD6/WNT6/APAF1/BBS4/SOX9/BMP7	17
GO:0016331	morphogenesis of embryonic epithelium	18/188	153/18903	1.44240952589515e-14	6.76490067644826e-12	4.5663648938207e-12	LIAS/PTCH1/KAT2A/SALL4/FGFR2/MKS1/HNF1B/GATA3/PRKACB/STIL/IFT122/PLXNB2/FZD6/WNT6/APAF1/BBS4/SOX9/BMP7	18
GO:0003007	heart morphogenesis	21/188	258/18903	1.40503492973144e-13	5.85743450705819e-11	3.9538175917355e-11	PTCH1/NOTCH1/FGFR2/MKS1/NIPBL/RYR2/FOXF1/GATA3/COL2A1/STIL/CHD7/DCHS1/GATA4/SMAD6/RYR1/MYBPC3/BBS4/FLNA/SOX9/ADAMTS1/BMP7	21
GO:0021915	neural tube development	17/188	164/18903	6.58019780923122e-13	2.46889021802355e-10	1.66652167673793e-10	LIAS/NF1/PTCH1/KAT2A/NOTCH1/SALL4/MKS1/PRKACB/STIL/DCHS1/PKD1/IFT122/PLXNB2/FZD6/APAF1/BBS4/BMP7	17
GO:0048736	appendage development	17/188	178/18903	2.51732445384465e-12	7.87083445902095e-10	5.3128795052195e-10	CREBBP/PTCH1/KAT2A/NOTCH1/SALL4/FGFR2/MKS1/PBX1/NIPBL/COL2A1/FRAS1/DYNC2H1/CHD7/IFT122/FZD6/SOX9/BMP7	17
GO:0060173	limb development	17/188	178/18903	2.51732445384465e-12	7.87083445902095e-10	5.3128795052195e-10	CREBBP/PTCH1/KAT2A/NOTCH1/SALL4/FGFR2/MKS1/PBX1/NIPBL/COL2A1/FRAS1/DYNC2H1/CHD7/IFT122/FZD6/SOX9/BMP7	17
GO:0048568	embryonic organ development	25/188	449/18903	3.12450804843769e-12	9.0178109213371e-10	6.08709827088347e-10	BPTF/PTCH1/TRIM28/ZNF568/NOTCH1/FGFR2/MKS1/PBX1/HNF1B/NIPBL/RYR2/FOXF1/GATA3/COL2A1/STIL/CHD7/PKD1/GATA4/IFT122/FZD6/EPAS1/BBS4/SOX9/BMP7/NCOA1	25
GO:0035107	appendage morphogenesis	15/188	142/18903	1.19359644513081e-11	2.98558257475388e-09	2.01529336630508e-09	CREBBP/PTCH1/NOTCH1/SALL4/FGFR2/MKS1/PBX1/NIPBL/COL2A1/FRAS1/DYNC2H1/CHD7/FZD6/SOX9/BMP7	15
GO:0035108	limb morphogenesis	15/188	142/18903	1.19359644513081e-11	2.98558257475388e-09	2.01529336630508e-09	CREBBP/PTCH1/NOTCH1/SALL4/FGFR2/MKS1/PBX1/NIPBL/COL2A1/FRAS1/DYNC2H1/CHD7/FZD6/SOX9/BMP7	15
GO:0014020	primary neural tube formation	13/188	98/18903	1.5773716917972e-11	3.2879436597906e-09	2.21938964354623e-09	LIAS/PTCH1/KAT2A/SALL4/MKS1/PRKACB/STIL/IFT122/PLXNB2/FZD6/APAF1/BBS4/BMP7	13
GO:0072163	mesonephric epithelium development	13/188	98/18903	1.5773716917972e-11	3.2879436597906e-09	2.21938964354623e-09	PTCH1/FGFR2/PBX1/HNF1B/GREB1L/GATA3/DCHS1/PKD1/SMAD6/WNT6/AGT/SOX9/BMP7	13
GO:0072164	mesonephric tubule development	13/188	98/18903	1.5773716917972e-11	3.2879436597906e-09	2.21938964354623e-09	PTCH1/FGFR2/PBX1/HNF1B/GREB1L/GATA3/DCHS1/PKD1/SMAD6/WNT6/AGT/SOX9/BMP7	13
