hpo_id	hpo_name	ncbi_gene_id	gene_symbol	disease_id
HP:0010984	Digenic inheritance	7298	TYMS	OMIM:620040
HP:0010984	Digenic inheritance	128	ADH5	OMIM:619151
HP:0010984	Digenic inheritance	79659	DYNC2H1	OMIM:613091
HP:0010984	Digenic inheritance	9573	GDF3	OMIM:613703
HP:0010984	Digenic inheritance	392255	GDF6	OMIM:613703
HP:0010984	Digenic inheritance	23347	SMCHD1	OMIM:158901
HP:0010984	Digenic inheritance	55791	LRIF1	OMIM:619477
HP:0010984	Digenic inheritance	1789	DNMT3B	OMIM:619478
HP:0010984	Digenic inheritance	10804	GJB6	OMIM:220290
HP:0010984	Digenic inheritance	2706	GJB2	OMIM:220290
HP:0010984	Digenic inheritance	2707	GJB3	OMIM:220290
HP:0010984	Digenic inheritance	28234	SLCO1B3	OMIM:237450
HP:0010984	Digenic inheritance	10599	SLCO1B1	OMIM:237450
HP:0010984	Digenic inheritance	4750	NEK1	OMIM:263520
HP:0010982	Polygenic inheritance	3356	HTR2A	OMIM:608516
HP:0010982	Polygenic inheritance	2289	FKBP5	OMIM:608516
HP:0010982	Polygenic inheritance	121278	TPH2	OMIM:608516
HP:0010982	Polygenic inheritance	219736	STOX1	OMIM:609404
HP:0010982	Polygenic inheritance	155	ADRB3	OMIM:601665
HP:0010982	Polygenic inheritance	5167	ENPP1	OMIM:601665
HP:0010982	Polygenic inheritance	7352	UCP3	OMIM:601665
HP:0010982	Polygenic inheritance	8431	NR0B2	OMIM:601665
HP:0010982	Polygenic inheritance	9607	CARTPT	OMIM:601665
HP:0010982	Polygenic inheritance	5443	POMC	OMIM:601665
HP:0010982	Polygenic inheritance	51738	GHRL	OMIM:601665
HP:0010982	Polygenic inheritance	5468	PPARG	OMIM:601665
HP:0010982	Polygenic inheritance	9672	SDC3	OMIM:601665
HP:0010982	Polygenic inheritance	181	AGRP	OMIM:601665
HP:0010982	Polygenic inheritance	7157	TP53	OMIM:607107
HP:0010982	Polygenic inheritance	22861	NLRP1	OMIM:606579
HP:0010982	Polygenic inheritance	652	BMP4	OMIM:600625
HP:0010982	Polygenic inheritance	581	BAX	OMIM:613065
HP:0010982	Polygenic inheritance	2322	FLT3	OMIM:613065
HP:0010982	Polygenic inheritance	2782	GNB1	OMIM:613065
HP:0010982	Polygenic inheritance	4683	NBN	OMIM:613065
HP:0010982	Polygenic inheritance	8021	NUP214	OMIM:613065
HP:0010982	Polygenic inheritance	613	BCR	OMIM:613065
HP:0010982	Polygenic inheritance	6886	TAL1	OMIM:613065
HP:0010982	Polygenic inheritance	6887	TAL2	OMIM:613065
HP:0010982	Polygenic inheritance	8542	APOL1	OMIM:612551
HP:0010982	Polygenic inheritance	64241	ABCG8	OMIM:611465
